Gender,Age,Area,Income,Feature,Brand,NumberOfDevices,Preference,Heard,ShoppingOnline,Unlock
Male,34,suburban,$75.000 to $100.000,Friend’s recommendation,None of these,,Price,Yes,55,Biometrics - photo
Female,44,suburban,$75.000 to $100.000,Safety,Loxone,10-15,Smart Features,Yes,39,Biometrics - eyescan
Female,36,urban,$50.000 to $75.000,Durability,None of these,,Price,Yes,,Bluetooth
Female,28,suburban,$25.000 to $50.000,Price,None of these,,Smart Features,Yes,53,Biometrics - photo
Male,28,urban,$75.000 to $100.000,Durability,iNels,1-5,Price,Yes,51,Biometrics - photo
Male,31,urban,Less than $25.000,Durability,None of these,,Price,Yes,59,Remote unlock by application
Male,42,suburban,$75.000 to $100.000,Safety,None of these,,Smart Features,Yes,40,Biometrics - eyescan
Male,31,suburban,$150.000 or More,Quality,None of these,,Remote Access,Yes,51,Remote unlock by application
Male,41,urban,$50.000 to $75.000,Durability,Fibaro,1-5,Smart Features,No,46,Bluetooth
Female,34,rural,$150.000 or More,Quality,None of these,,Safety,No,64,Biometrics - fingerprint
Male,52,rural,$150.000 or More,Brand,Apple Home Kit,5-10,Safety,No,39,NFC
Female,35,suburban,$75.000 to $100.000,Friend’s recommendation,None of these,,Safety,Yes,69,NFC
Female,31,suburban,Less than $25.000,Safety,Fibaro,1-5,Smart Features,No,70,Biometrics - photo
Female,34,suburban,$75.000 to $100.000,Brand,None of these,,Safety,Yes,52,Biometrics - eyescan
Female,32,suburban,$150.000 or More,Brand,Amazon Alexa,5-10,Brand,Yes,38,Biometrics - eyescan
Female,41,rural,$150.000 or More,Quality,None of these,,Remote Access,Yes,46,Remote unlock by application
Male,38,suburban,Less than $25.000,Convenience,None of these,,Safety,No,46,Biometrics - photo
Male,36,urban,$100.000 to $150.000,Brand,Apple Home Kit,10-15,Brand,No,51,Biometrics - fingerprint
Male,33,urban,$100.000 to $150.000,Price,None of these,,Remote Access,Yes,47,Biometrics - photo
Female,40,rural,$50.000 to $75.000,Quality,None of these,,Brand,No,30,Biometrics - photo
Female,35,urban,$75.000 to $100.000,Price,None of these,,Safety,Yes,62,NFC
Male,38,rural,$50.000 to $75.000,Brand,Fibaro,5-10,Smart Features,No,42,Biometrics - eyescan
Female,43,suburban,$75.000 to $100.000,Friend’s recommendation,None of these,,Smart Features,Yes,36,Bluetooth
Male,42,urban,$75.000 to $100.000,Convenience,Google Home,>15,Remote Access,Yes,44,Biometrics - fingerprint
Female,39,urban,$150.000 or More,Packaging,None of these,,Price,Yes,34,Remote unlock by application
Male,33,urban,Less than $25.000,Price,None of these,,Safety,Yes,,Biometrics - fingerprint
Female,31,rural,$25.000 to $50.000,Convenience,None of these,,Price,Yes,28,Biometrics - fingerprint
Male,35,suburban,$25.000 to $50.000,Brand,None of these,,Remote Access,Yes,66,Biometrics - eyescan
Male,33,urban,$150.000 or More,Durability,None of these,,Remote Access,Yes,56,Bluetooth
Male,33,suburban,$75.000 to $100.000,Price,None of these,,Safety,Yes,37,Biometrics - photo
Male,35,rural,Less than $25.000,Safety,Fibaro,1-5,Remote Access,Yes,41,Biometrics - eyescan
Male,33,urban,$25.000 to $50.000,Convenience,Nest,1-5,Safety,No,40,NFC
Female,29,suburban,$50.000 to $75.000,Packaging,None of these,,Price,Yes,74,Biometrics - fingerprint
Female,37,suburban,$100.000 to $150.000,Quality,None of these,,Remote Access,No,36,Biometrics - fingerprint
Female,35,urban,$50.000 to $75.000,Convenience,None of these,,Remote Access,Yes,44,Remote unlock by application
Female,25,urban,$25.000 to $50.000,Price,None of these,,Price,Yes,91,Conventional key
Male,28,urban,$75.000 to $100.000,Friend’s recommendation,Apple Home Kit,>15,Price,Yes,81,Biometrics - photo
Male,33,suburban,Less than $25.000,Price,iNels,1-5,Safety,Yes,37,Biometrics - eyescan
Female,24,rural,$150.000 or More,Packaging,None of these,,Brand,No,78,Bluetooth
Male,30,suburban,$50.000 to $75.000,Safety,Fibaro,10-15,Safety,Yes,54,Conventional key
Female,31,suburban,$75.000 to $100.000,Convenience,Google Home,,Safety,Yes,,Biometrics - fingerprint
Female,48,rural,$50.000 to $75.000,Quality,None of these,,Price,Yes,33,Biometrics - eyescan
Male,38,urban,Less than $25.000,Price,Apple Home Kit,>15,Price,Yes,40,Remote unlock by application
Female,41,rural,Less than $25.000,Friend’s recommendation,Google Home,>15,Price,Yes,37,Remote unlock by application
Male,31,rural,$50.000 to $75.000,Convenience,None of these,,Price,No,46,Remote unlock by application
Female,36,rural,$150.000 or More,Brand,Apple Home Kit,5-10,Safety,Yes,48,Remote unlock by application
Male,36,urban,$25.000 to $50.000,Price,Amazon Alexa,>15,Smart Features,Yes,44,Biometrics - fingerprint
Male,30,suburban,Less than $25.000,Price,Fibaro,1-5,Remote Access,No,44,Remote unlock by application
Female,34,urban,$25.000 to $50.000,Friend’s recommendation,None of these,,Brand,Yes,,Conventional key
Male,37,urban,$150.000 or More,Friend’s recommendation,Loxone,1-5,Brand,No,46,Biometrics - eyescan
Male,29,suburban,Less than $25.000,Price,iNels,1-5,Price,Yes,45,Bluetooth
Male,30,suburban,$100.000 to $150.000,Brand,Apple Home Kit,10-15,Brand,Yes,50,Biometrics - fingerprint
Male,40,suburban,$100.000 to $150.000,Convenience,Apple Home Kit,>15,Safety,Yes,51,Biometrics - fingerprint
Female,34,urban,$75.000 to $100.000,Brand,Loxone,5-10,Safety,Yes,58,NFC
Female,35,suburban,Less than $25.000,Durability,Loxone,5-10,Price,Yes,38,Bluetooth
Male,45,urban,$150.000 or More,Convenience,None of these,,Brand,Yes,45,Biometrics - photo
Female,35,suburban,$25.000 to $50.000,Safety,Google Home,5-10,Safety,No,47,NFC
Female,39,rural,$50.000 to $75.000,Safety,Apple Home Kit,>15,Smart Features,Yes,57,Biometrics - eyescan
Female,28,urban,$150.000 or More,Convenience,None of these,,Remote Access,Yes,66,Biometrics - fingerprint
Male,42,suburban,$100.000 to $150.000,Quality,Amazon Alexa,,Smart Features,Yes,,NFC
