Gender,Age,Area,Income,Feature,Brand,NumberOfDevices,Preference,Heard,ShoppingOnline,Unlock
Female,34,suburban,$100.000 to $150.000,Quality,None of these,,Smart Features,Yes,35,Remote unlock by application
Male,28,urban,$25.000 to $50.000,Safety,Apple Home Kit,5-10,Brand,No,26,Remote unlock by application
Male,35,suburban,$75.000 to $100.000,Price,Google Home,1-5,Safety,No,39,NFC
Male,24,rural,$100.000 to $150.000,Price,None of these,,Remote Access,Yes,72,Remote unlock by application
Female,29,urban,$50.000 to $75.000,Brand,None of these,,Price,Yes,26,Biometrics - fingerprint
Female,45,urban,$25.000 to $50.000,Friend’s recommendation,None of these,,Remote Access,Yes,22,Biometrics - photo
Female,27,urban,$100.000 to $150.000,Friend’s recommendation,Apple Home Kit,>15,Price,Yes,50,Conventional key
Male,26,rural,$50.000 to $75.000,Safety,None of these,,Brand,Yes,49,Remote unlock by application
Male,33,rural,$50.000 to $75.000,Brand,Apple Home Kit,5-10,Remote Access,Yes,25,Remote unlock by application
Female,30,suburban,$50.000 to $75.000,Price,None of these,,Safety,Yes,36,Remote unlock by application
Male,31,urban,$150.000 or More,Quality,Apple Home Kit,1-5,Remote Access,Yes,42,Remote unlock by application
Male,31,rural,$25.000 to $50.000,Quality,None of these,,Price,No,,NFC
Female,32,rural,$25.000 to $50.000,Price,Loxone,1-5,Price,No,40,NFC
Female,28,urban,$75.000 to $100.000,Safety,Apple Home Kit,1-5,Price,No,42,Bluetooth
Female,34,suburban,$75.000 to $100.000,Convenience,Nest,10-15,Price,Yes,62,Conventional key
Female,37,urban,Less than $25.000,Quality,Loxone,1-5,Price,Yes,28,Biometrics - fingerprint
Female,31,urban,$100.000 to $150.000,Packaging,None of these,,Safety,Yes,35,Biometrics - photo
Male,26,suburban,$50.000 to $75.000,Price,Loxone,5-10,Safety,No,78,NFC
Male,27,urban,$75.000 to $100.000,Brand,None of these,,Safety,No,,Conventional key
Female,36,rural,$75.000 to $100.000,Price,Nest,1-5,Price,No,32,Conventional key
