Gender,Age,Area,Income,Feature,Brand,NumberOfDevices,Preference,Heard,ShoppingOnline,Unlock
Male,37,suburban,$50.000 to $75.000,Quality,None of these,,Price,No,68,Biometrics - fingerprint
Male,41,rural,$25.000 to $50.000,Quality,Fibaro,5-10,Smart Features,Yes,45,Biometrics - fingerprint
Female,40,rural,$50.000 to $75.000,Quality,Amazon Alexa,10-15,Remote Access,No,66,Remote unlock by application
Male,31,suburban,$50.000 to $75.000,Friend’s recommendation,iNels,1-5,Smart Features,No,80,Bluetooth
Male,49,rural,$150.000 or More,Price,Amazon Alexa,1-5,Remote Access,No,47,Remote unlock by application
Female,39,suburban,$100.000 to $150.000,Friend’s recommendation,Loxone,5-10,Smart Features,Yes,55,Biometrics - fingerprint
Female,34,urban,$25.000 to $50.000,Price,Apple Home Kit,1-5,Safety,Yes,66,Remote unlock by application
Male,49,rural,$75.000 to $100.000,Friend’s recommendation,Apple Home Kit,10-15,Brand,No,42,Biometrics - eyescan
Male,34,rural,$75.000 to $100.000,Safety,None of these,,Smart Features,No,82,Biometrics - fingerprint
Male,36,urban,$50.000 to $75.000,Brand,Google Home,10-15,Brand,Yes,61,Biometrics - fingerprint
Male,42,suburban,Less than $25.000,Price,Fibaro,5-10,Remote Access,Yes,46,Biometrics - photo
Male,36,rural,$25.000 to $50.000,Safety,None of these,,Safety,No,62,Biometrics - eyescan
Male,38,urban,$50.000 to $75.000,Brand,Amazon Alexa,5-10,Safety,Yes,41,Conventional key
Male,43,suburban,$75.000 to $100.000,Friend’s recommendation,Fibaro,1-5,Safety,No,47,Biometrics - eyescan
Female,41,suburban,Less than $25.000,Durability,None of these,,Smart Features,Yes,39,NFC
Female,44,suburban,$150.000 or More,Quality,Fibaro,>15,Safety,Yes,62,Biometrics - photo
Female,35,rural,Less than $25.000,Friend’s recommendation,None of these,,Price,Yes,,Bluetooth
Female,45,suburban,$25.000 to $50.000,Convenience,None of these,,Price,Yes,60,Remote unlock by application
Female,39,suburban,Less than $25.000,Price,Apple Home Kit,>15,Safety,Yes,56,Remote unlock by application
Female,48,urban,$150.000 or More,Brand,Apple Home Kit,>15,Smart Features,Yes,59,NFC
Female,38,suburban,Less than $25.000,Packaging,Google Home,10-15,Safety,Yes,55,NFC
Male,46,rural,$150.000 or More,Packaging,Fibaro,>15,Brand,Yes,51,NFC
Female,39,suburban,$25.000 to $50.000,Friend’s recommendation,Fibaro,5-10,Price,No,41,NFC
Male,37,urban,$100.000 to $150.000,Brand,Fibaro,,Brand,Yes,,Biometrics - fingerprint
Male,38,urban,$100.000 to $150.000,Quality,Fibaro,>15,Brand,Yes,58,Biometrics - eyescan
Male,43,rural,$75.000 to $100.000,Brand,Loxone,5-10,Safety,Yes,39,Remote unlock by application
Female,46,suburban,$100.000 to $150.000,Price,Apple Home Kit,,Price,No,,Remote unlock by application
Female,43,urban,$100.000 to $150.000,Brand,Amazon Alexa,5-10,Safety,Yes,59,Biometrics - eyescan
Male,49,urban,$75.000 to $100.000,Brand,Apple Home Kit,10-15,Safety,Yes,45,NFC
Female,42,rural,$100.000 to $150.000,Quality,Apple Home Kit,>15,Price,Yes,50,Biometrics - fingerprint
Male,37,suburban,$100.000 to $150.000,Quality,None of these,,Safety,Yes,60,NFC
Male,39,suburban,$150.000 or More,Quality,iNels,1-5,Brand,Yes,52,Biometrics - eyescan
Male,42,urban,$50.000 to $75.000,Packaging,None of these,,Safety,No,45,Remote unlock by application
Male,37,urban,$50.000 to $75.000,Friend’s recommendation,Nest,,Smart Features,No,,Biometrics - fingerprint
Male,31,rural,$100.000 to $150.000,Friend’s recommendation,None of these,,Smart Features,No,72,NFC
Female,49,urban,$25.000 to $50.000,Price,None of these,,Safety,Yes,46,Remote unlock by application
Female,50,rural,$25.000 to $50.000,Brand,Loxone,10-15,Price,Yes,48,Conventional key
Male,32,suburban,$100.000 to $150.000,Quality,None of these,,Smart Features,Yes,62,Bluetooth
Female,32,rural,Less than $25.000,Packaging,None of these,,Price,Yes,63,NFC
Male,44,urban,$75.000 to $100.000,Brand,Loxone,>15,Price,No,51,Conventional key
Male,43,urban,$50.000 to $75.000,Durability,None of these,,Price,Yes,70,Remote unlock by application
Female,41,rural,$150.000 or More,Brand,iNels,1-5,Brand,Yes,52,Conventional key
Male,33,suburban,$75.000 to $100.000,Brand,Amazon Alexa,1-5,Price,No,71,Bluetooth
Female,41,rural,$25.000 to $50.000,Durability,Amazon Alexa,10-15,Safety,Yes,51,Biometrics - photo
Female,36,urban,$25.000 to $50.000,Quality,None of these,,Brand,Yes,74,Biometrics - eyescan
Male,29,suburban,$150.000 or More,Friend’s recommendation,Fibaro,1-5,Brand,Yes,80,Biometrics - eyescan
Male,39,rural,$75.000 to $100.000,Brand,iNels,1-5,Smart Features,No,61,Bluetooth
Male,39,rural,$150.000 or More,Brand,Amazon Alexa,5-10,Brand,No,41,Biometrics - eyescan
